Year,CPI,Scaling Factor
1989,52.20,2.10
1990,55.90,2.00
1991,60.10,1.80
1992,62.60,1.80
1993,64.20,1.70
1994,65.50,1.70
1995,67.20,1.60
1996,68.80,1.60
1997,70.10,1.60
1998,71.20,1.50
1999,72.10,1.50
2000,72.70,1.50
2001,73.60,1.50
2002,74.50,1.50
2003,75.50,1.50
2004,76.50,1.40
2005,78.10,1.40
2006,79.90,1.40
2007,81.80,1.30
2008,84.70,1.30
2009,86.60,1.30
2010,89.40,1.20
2011,93.40,1.20
2012,96.10,1.10
2013,98.50,1.10
2014,100.00,1.10
2015,100.00,1.10
2016,100.70,1.10
2017,103.40,1.10
2018,105.90,1.00
2019,107.80,1.00
2020,108.70,1.00
2021,109.70,1.00
