ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
North East,E06000001,Hartlepool,784,832,849,846,895,945,976,1013,1066,1119,1146,1138,1150,1178,1186,1232,1211,1294,1390,1416,1390,1426
North East,E06000004,Stockton-on-Tees,2592,2703,2784,2796,2960,3182,3415,3520,3824,4025,4082,4280,4261,4238,4240,4410,4521,4770,4851,4715,4834,5073
North East,E06000002,Middlesbrough,1479,1539,1585,1586,1651,1760,1898,2037,2172,2230,2296,2354,2307,2344,2410,2410,2482,2586,2707,2786,2962,3032
North East,E06000003,Redcar and Cleveland,1280,1303,1344,1302,1336,1489,1493,1528,1550,1554,1658,1660,1699,1700,1718,1752,1808,1865,1790,1664,1772,1812
North East,E06000005,Darlington,1524,1540,1647,1772,1904,2029,2169,2176,2237,2177,2298,2191,2247,2315,2272,2301,2608,2709,2575,2552,2572,2608
North East,E06000047,County Durham,4660,4895,5027,5110,5424,5802,6230,6517,6934,7239,7497,7636,7661,7521,7791,7971,7956,8066,8089,8313,8695,8972
North East,E06000057,Northumberland,3038,3040,3090,3181,3455,3573,3813,3925,4145,4216,4359,4289,4375,4441,4544,4461,4633,4747,4909,4999,5030,5161
North East,E08000021,Newcastle upon Tyne,4323,4295,4421,4759,5163,5469,6008,6399,6813,6881,6924,6886,7123,7386,7748,7718,7951,8478,8755,9131,9115,9394
North East,E08000022,North Tyneside,2100,2138,2179,2367,2648,2756,2975,3103,3224,3297,3422,3338,3419,3511,3547,3472,3677,3844,4045,4248,4416,4590
North East,E08000023,South Tyneside,1133,1133,1166,1204,1261,1326,1430,1494,1568,1580,1636,1553,1607,1647,1760,1769,1872,1871,1844,1847,1846,1894
North East,E08000037,Gateshead,2622,2638,2709,2826,3031,3172,3411,3630,3821,3891,3902,3743,3869,4084,4049,3890,3951,3996,4111,4093,4081,4316
North East,E08000024,Sunderland,3513,3428,3543,3723,4047,4241,4628,4863,5140,5186,5378,5464,5405,5457,5604,6158,6439,6543,6587,6835,7019,7062
North West,E07000026,Allerdale,1090,1101,1148,1149,1235,1256,1256,1309,1428,1461,1539,1550,1604,1612,1625,1770,1874,1869,1735,1706,1777,1817
North West,E07000027,Barrow-in-Furness,801,757,775,690,766,830,902,865,960,1051,1146,1188,1208,1252,1339,1361,1400,1486,1538,1650,1745,1858
North West,E07000029,Copeland,1132,1276,959,979,981,1061,1034,1244,1327,1253,1419,1343,1396,1376,1360,1358,1510,1572,1493,1414,1486,1504
North West,E07000028,Carlisle,1463,1498,1586,1604,1692,1850,1929,1980,2180,2274,2405,2411,2422,2406,2450,2610,2709,2825,2823,2838,2866,2928
North West,E07000030,Eden,761,771,807,798,876,957,997,1023,1116,1128,1176,1141,1152,1153,1205,1227,1291,1343,1305,1310,1375,1432
North West,E07000031,South Lakeland,1296,1323,1381,1438,1548,1683,1747,1804,1968,2017,2104,2018,2071,2014,2128,2168,2241,2370,2411,2529,2553,2665
North West,E08000003,Manchester,8693,9070,9323,10081,10735,11377,12200,13226,14221,15096,15302,15720,16160,16257,17169,17575,18353,19169,20358,22174,23156,24522
North West,E08000006,Salford,3267,3364,3416,3604,3780,4010,4332,4723,4971,5331,5370,5363,5391,5471,5820,6410,6883,6887,6837,7014,7634,7989
North West,E08000009,Trafford,4416,4620,4816,5134,5412,5626,5751,5989,6340,6595,6739,6675,6727,6758,6996,7371,7432,7962,8290,8710,9276,9399
North West,E08000007,Stockport,3593,3770,3912,4080,4263,4452,4606,4815,5057,5320,5522,5645,5625,5540,5662,5808,5758,5831,6153,6619,6899,6902
North West,E08000008,Tameside,2023,2128,2195,2254,2335,2413,2463,2627,2731,2841,2861,2868,2891,2892,2874,2989,3066,3133,3155,3385,3500,3581
North West,E08000001,Bolton,2935,3032,3036,3210,3306,3451,3625,3848,4045,4223,4229,4321,4374,4385,4589,4815,4904,5089,5218,5469,5786,5852
North West,E08000010,Wigan,2763,2887,2991,3136,3251,3384,3494,3673,3867,4007,3933,3899,3937,3937,4010,4303,4475,4777,4918,5076,5179,5276
North West,E08000002,Bury,1773,1852,1915,2019,2151,2234,2319,2437,2585,2710,2710,2696,2732,2745,2849,2945,2897,3091,3223,3263,3384,3559
North West,E08000004,Oldham,2052,2134,2183,2253,2357,2401,2533,2682,2820,2928,2988,2966,2991,3020,3104,3193,3322,3549,3605,3923,3961,4109
North West,E08000005,Rochdale,1964,2074,2122,2212,2276,2352,2451,2557,2644,2763,2775,2773,2816,2834,3068,3201,3226,3340,3386,3468,3624,3783
North West,E06000008,Blackburn with Darwen,1571,1620,1634,1661,1758,1903,1994,2038,2121,2210,2283,2252,2339,2387,2449,2587,2696,2888,3039,3089,3112,3121
North West,E06000009,Blackpool,1308,1339,1368,1431,1522,1653,1774,1846,1912,1957,1960,1898,1995,2004,2021,2101,2165,2290,2436,2672,2714,2810
North West,E07000121,Lancaster,1497,1531,1477,1495,1617,1813,1949,2111,2280,2371,2387,2145,2116,2145,2327,2471,2527,2677,2673,2678,2723,2816
North West,E07000128,Wyre,851,876,896,919,978,1068,1105,1123,1155,1184,1224,1190,1214,1236,1263,1314,1368,1602,1648,1650,1737,1790
North West,E07000119,Fylde,1754,1909,2031,2154,2172,2397,2631,2779,2754,2898,2844,2582,2534,2540,2569,2379,2219,2427,2667,2801,2529,2811
North West,E07000123,Preston,2212,2304,2361,2462,2647,2858,3019,3102,3239,3398,3355,3393,3516,3534,3654,3622,3780,3966,4346,4278,4382,4489
North West,E07000124,Ribble Valley,1046,1113,1151,1208,1247,1355,1457,1498,1522,1554,1547,1419,1423,1508,1528,1683,1746,1834,1777,1818,1783,1724
North West,E07000126,South Ribble,1898,1932,2002,2022,2148,2316,2403,2439,2456,2646,2721,2573,2620,2684,2795,2956,3215,3437,3608,3646,3664,3780
North West,E07000117,Burnley,969,1010,1028,1051,1085,1165,1217,1259,1321,1380,1395,1358,1435,1469,1557,1589,1704,1686,1798,1929,1998,2017
North West,E07000120,Hyndburn,802,841,821,841,883,919,965,995,1030,1095,1134,1098,1134,1174,1220,1274,1294,1330,1496,1491,1415,1434
North West,E07000122,Pendle,1023,1093,1114,1140,1172,1259,1322,1385,1420,1448,1416,1284,1317,1378,1408,1400,1476,1495,1632,1786,1915,1868
North West,E07000125,Rossendale,630,645,655,656,699,749,772,783,803,836,836,824,849,872,856,905,967,1022,1014,1017,1027,1022
North West,E07000118,Chorley,968,1002,1049,1100,1186,1263,1313,1334,1371,1441,1488,1455,1518,1522,1591,1636,1713,1807,1911,1909,1980,2130
North West,E07000127,West Lancashire,1287,1317,1333,1364,1453,1549,1630,1634,1676,1760,1812,1827,1876,1915,1957,1995,2111,2208,2361,2431,2507,2583
North West,E06000007,Warrington,3643,3723,3906,4275,4440,4600,4724,5014,5297,5573,5534,5315,5451,5543,5708,6043,6377,6757,6961,7577,7512,7757
North West,E06000049,Cheshire East,5885,6149,6382,7476,7739,7437,8250,8769,9489,9679,9599,9429,9897,10272,10821,11080,11842,12359,13345,13346,13843,14736
North West,E06000050,Cheshire West and Chester,5064,5429,5453,5934,5964,6345,6524,6800,7405,7878,7867,8156,8483,8470,8540,8870,9289,9209,9784,10218,10581,10487
North West,E06000006,Halton,2178,2286,2379,2433,2532,2787,2805,2957,3209,3114,3327,3404,3473,3510,3385,3583,3750,3894,3833,4062,4178,4234
North West,E08000011,Knowsley,1735,1753,1753,1856,1934,2061,2121,2109,2261,2341,2433,2413,2551,2628,2625,2876,3030,3228,3469,3633,3560,3724
North West,E08000013,St. Helens,1622,1768,1831,1925,2034,2125,2203,2272,2441,2494,2504,2494,2563,2537,2455,2507,2611,2686,2703,2732,2728,2767
North West,E08000012,Liverpool,5862,6161,6447,6855,7282,8115,8605,9151,9998,10051,10602,11137,11104,11162,11060,11236,11832,12083,12409,12584,12850,13538
North West,E08000014,Sefton,2236,2392,2456,2610,2801,2966,3106,3195,3415,3451,3564,3625,3643,3557,3519,3540,3695,3829,3984,4079,4135,4206
North West,E08000015,Wirral,2632,2835,2901,3071,3259,3487,3695,3744,4005,4044,4160,4221,4231,4242,4303,4361,4563,4885,4847,5042,4973,5129
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",3030,3099,3276,3437,3699,3974,4049,4241,4706,4911,5404,5467,5224,5009,5111,5122,5132,5393,5610,5803,5985,6179
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,3813,3784,3938,4136,4465,4762,5111,5218,5548,5582,5647,5478,5352,5347,5522,5622,5954,6233,6242,6568,6889,7176
Yorkshire and The Humber,E06000012,North East Lincolnshire,1756,1802,1864,1959,2038,2146,2206,2303,2447,2597,2653,2652,2594,2678,2691,2777,2944,3059,3044,3094,3113,3223
Yorkshire and The Humber,E06000013,North Lincolnshire,2307,2270,2396,2467,2568,2917,3047,3180,3174,3556,3826,3460,3656,3330,3315,3455,3531,4059,4151,4400,4426,4424
Yorkshire and The Humber,E06000014,York,3158,3260,3417,3675,4079,4376,4606,4772,4837,5084,5058,4922,5029,5164,5342,5415,5530,5548,5711,5945,6144,6300
Yorkshire and The Humber,E07000163,Craven,651,664,691,734,811,853,886,912,972,1052,1074,1057,1077,1110,1093,1144,1213,1262,1323,1429,1478,1563
Yorkshire and The Humber,E07000164,Hambleton,1266,1282,1329,1403,1535,1620,1703,1753,1794,1870,1932,1849,1864,1941,1953,2071,2137,2170,2204,2304,2305,2408
