Region,LAU1 code,LA name,SIC07 code,SIC07 Industry,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
North East,E06000001,Hartlepool,All,All industries,10152,10794,10772,11012,11342,12056,12328,13226,13805,14144,14401,14940,14458,14220,14318,16528,15852,16090,16246
North East,E06000004,Stockton-on-Tees,All,All industries,13132,13822,13830,14104,14606,15878,17212,18165,18538,18754,18872,19423,18515,19002,19455,18888,20478,20874,20638
North East,E06000002,Middlesbrough,All,All industries,10581,11524,11737,11596,12463,12958,14832,15465,16083,16687,16884,17595,17731,17514,17112,17279,17643,18059,18575
North East,E06000003,Redcar and Cleveland,All,All industries,9865,10219,10474,10291,11071,11671,12880,13449,13633,14409,15142,14726,15019,14740,14705,15374,15313,15345,15311
North East,E06000005,Darlington,All,All industries,13471,14212,14591,16017,17206,18970,19511,18859,20104,20850,21215,20550,21750,22162,22433,21867,23847,25012,24381
North East,E06000047,County Durham,All,All industries,9423,9546,10031,10364,10943,11720,12126,12490,13367,13640,14049,14212,14344,14175,14585,15247,15297,16287,16295
North East,E06000057,Northumberland,All,All industries,10512,10045,10579,10709,11682,12158,12666,13179,13893,13994,14373,13843,13867,14297,14578,14813,15988,15798,16140
North East,E08000037,Gateshead,All,All industries,12960,13192,13626,14260,15360,16026,17306,18388,19349,19257,19803,19177,18995,20419,20365,20128,21202,21662,21690
North East,E08000021,Newcastle upon Tyne,All,All industries,15008,15551,16119,17468,18839,19691,21889,23140,24653,24744,25438,24280,24379,25858,26311,25345,25289,26101,26317
North East,E08000022,North Tyneside,All,All industries,10931,11220,11536,11952,13048,13580,14835,15515,16195,15984,16677,16373,17178,17543,18101,18279,19801,20258,20786
North East,E08000023,South Tyneside,All,All industries,7936,8074,8253,8587,9064,9578,10530,11283,12030,12139,12573,12171,12789,13396,13775,14091,14181,14296,14236
North East,E08000024,Sunderland,All,All industries,11556,11290,11947,12953,14008,14445,15851,17315,17614,17997,18158,17836,17506,17653,18763,18908,20428,20314,20632
North West,E07000026,Allerdale,All,All industries,12060,12099,11912,11923,12433,13183,13495,13691,15498,15587,16089,16420,17169,17539,18385,18659,19337,19769,19771
North West,E07000027,Barrow-in-Furness,All,All industries,12894,12302,11940,11725,12576,13429,13940,13967,16001,16412,17167,18118,18326,18938,19557,21313,22066,25558,25591
North West,E07000029,Copeland,All,All industries,13400,13329,12981,12580,13203,14555,14989,15117,17009,17470,18775,19602,19978,20082,20782,21718,23180,23657,24713
North West,E07000028,Carlisle,All,All industries,13383,13665,14097,14049,14871,16663,17001,17365,18944,19236,20072,19036,19869,19085,20742,22513,22429,23561,23774
North West,E07000030,Eden,All,All industries,15077,15259,15980,15620,16556,18745,18993,19456,20831,21088,21941,19657,21072,20372,21048,21418,22381,23958,24845
North West,E07000031,South Lakeland,All,All industries,13798,14256,14712,15209,16035,17719,18115,18273,20025,20437,21661,19904,20710,20814,21511,22121,23439,24277,25317
North West,E08000003,Manchester,All,All industries,18160,19104,19372,21288,22596,23201,24841,26018,27354,28599,28217,28732,28839,28014,29025,31107,31788,32523,33573
