DZcode,DZname,LAcode,LAname,Population,Working_Age_Population
S01006506,Culter - 01,S12000033,Aberdeen City,894,580
S01006507,Culter - 02,S12000033,Aberdeen City,793,470
S01006508,Culter - 03,S12000033,Aberdeen City,624,461
S01006509,Culter - 04,S12000033,Aberdeen City,537,307
S01006510,Culter - 05,S12000033,Aberdeen City,663,415
S01006511,Culter - 06,S12000033,Aberdeen City,759,453
S01006512,Culter - 07,S12000033,Aberdeen City,539,345
S01006513,"Cults, Bieldside and Milltimber West - 01",S12000033,Aberdeen City,788,406
S01006514,"Cults, Bieldside and Milltimber West - 02",S12000033,Aberdeen City,1123,709
S01006515,"Cults, Bieldside and Milltimber West - 03",S12000033,Aberdeen City,816,529
S01006516,"Cults, Bieldside and Milltimber West - 04",S12000033,Aberdeen City,629,419
S01006517,"Cults, Bieldside and Milltimber West - 05",S12000033,Aberdeen City,1052,646
S01006518,"Cults, Bieldside and Milltimber East - 01",S12000033,Aberdeen City,664,370
S01006519,"Cults, Bieldside and Milltimber East - 02",S12000033,Aberdeen City,941,560
S01006520,"Cults, Bieldside and Milltimber East - 03",S12000033,Aberdeen City,875,559
S01006521,"Cults, Bieldside and Milltimber East - 04",S12000033,Aberdeen City,793,512
S01006522,"Cults, Bieldside and Milltimber East - 05",S12000033,Aberdeen City,675,412
S01006523,"Cults, Bieldside and Milltimber East - 06",S12000033,Aberdeen City,957,571
S01006524,"Cults, Bieldside and Milltimber East - 07",S12000033,Aberdeen City,1056,629
S01006525,"Cults, Bieldside and Milltimber East - 08",S12000033,Aberdeen City,904,497
S01006526,Garthdee - 01,S12000033,Aberdeen City,924,670
S01006527,Garthdee - 02,S12000033,Aberdeen City,756,508
S01006528,Garthdee - 03,S12000033,Aberdeen City,1154,829
S01006529,Garthdee - 04,S12000033,Aberdeen City,932,680
S01006530,Garthdee - 05,S12000033,Aberdeen City,785,548
S01006531,Garthdee - 06,S12000033,Aberdeen City,946,655
S01006532,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,793,445
S01006533,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,717,475
S01006534,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,956,625
S01006535,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1046,812
S01006536,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1003,827
S01006537,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,920,497
S01006538,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,548,335
S01006539,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,781,462
S01006540,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,933,633
S01006541,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,864,468
S01006542,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1131,664
S01006543,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,792,453
S01006544,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1283,862
S01006545,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1120,731
S01006546,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,624,387
S01006547,Hazlehead - 01,S12000033,Aberdeen City,1242,752
